GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo,MetricVo,292,0,12,0,83,0,34,0,28,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo,ResourceVo,302,0,16,0,96,0,42,0,34,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo,MachineInfoVo,122,0,2,0,40,0,20,0,19,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.service,ClusterConfigService,455,0,64,0,75,0,57,0,25,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.service,ClusterAssignServiceImpl,690,0,36,0,141,0,49,0,31,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,MetricEntity,90,222,0,0,5,64,3,31,3,31
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,SentinelVersion,80,120,10,12,10,30,10,18,3,14
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,MachineEntity,146,0,0,0,34,0,19,0,19,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,MetricPositionEntity,112,0,0,0,26,0,18,0,18,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity,ApplicationEntity,103,0,0,0,24,0,17,0,17,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,AuthService.PrivilegeType,0,64,0,0,0,7,0,1,0,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,SimpleWebAuthServiceImpl,20,0,4,0,6,0,4,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,FakeAuthServiceImpl,0,7,0,0,0,2,0,2,0,2
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,FakeAuthServiceImpl.AuthUserImpl,8,5,0,0,4,2,4,2,4,2
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,AuthorizationInterceptor,30,39,4,4,8,10,5,2,1,2
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,SimpleWebAuthServiceImpl.SimpleWebAuthUserImpl,19,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.auth,LoginAuthenticationFilter,18,61,5,7,8,15,7,3,2,2
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.config,DashboardConfig,9,102,0,14,3,30,3,16,3,9
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.config,WebConfig,4,153,2,2,2,28,2,8,0,8
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo.gateway.rule,GatewayParamFlowItemVo,8,23,0,0,4,9,2,7,2,7
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo.gateway.rule,UpdateFlowRuleReqVo,4,69,0,0,2,29,1,20,1,20
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo.gateway.rule,AddFlowRuleReqVo,4,90,0,0,2,38,1,26,1,26
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,AuthorityRuleEntity,43,3,0,0,12,2,5,1,5,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,SystemRuleEntity,151,0,0,0,51,0,25,0,25,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,ParamFlowRuleEntity,88,3,0,0,21,2,14,1,14,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,DegradeRuleEntity,152,0,0,0,51,0,25,0,25,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,FlowRuleEntity,267,0,6,0,84,0,40,0,37,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.datasource.entity.rule,AbstractRuleEntity,32,29,0,0,13,10,7,9,7,9
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,AppInfo,72,136,9,11,14,32,13,14,6,11
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,MachineInfo,97,215,12,10,17,51,18,19,9,17
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,AppManagement,30,11,0,0,7,3,6,2,6,2
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.discovery,SimpleMachineDiscovery,76,8,2,0,16,2,8,1,7,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos,FlowRuleNacosProvider,30,0,2,0,5,0,3,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos,FlowRuleNacosPublisher,28,0,2,0,7,0,3,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule.nacos,NacosConfig,46,0,0,0,10,0,5,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard,DashboardApplication,14,3,0,0,5,1,3,1,3,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo.gateway.api,UpdateApiReqVo,0,24,0,0,0,10,0,7,0,7
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo.gateway.api,ApiPredicateItemVo,0,17,0,0,0,7,0,5,0,5
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.vo.gateway.api,AddApiReqVo,0,38,0,0,0,16,0,11,0,11
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,SystemController,489,0,74,0,117,0,45,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DemoController.RunTask,77,0,8,0,28,0,6,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,MachineRegistryController,108,0,12,0,27,0,8,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,MetricController,375,0,56,0,82,0,33,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DegradeController,384,0,58,0,97,0,35,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,FlowControllerV1,634,0,110,0,127,0,62,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AuthorityRuleController,317,0,48,0,80,0,31,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AuthController,84,0,14,0,19,0,12,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,AppController,74,0,6,0,17,0,8,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,VersionController,31,0,4,0,7,0,4,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,ParamFlowRuleController,547,0,62,0,119,0,44,0,13,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,DemoController,83,0,4,0,22,0,7,0,5,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller,ResourceController,92,0,16,0,23,0,12,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterUniversalStateVO,49,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterStateSimpleEntity,62,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterClientStateVO,23,0,0,0,5,0,4,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterUniversalStatePairVO,63,0,0,0,16,0,9,0,9,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,AppClusterServerStateWrapVO,89,0,0,0,20,0,14,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterServerStateVO,116,0,0,0,26,0,18,0,18,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,ClusterRequestLimitVO,51,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster.state,AppClusterClientStateWrapVO,66,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.metric,InMemoryMetricsRepository,13,284,10,22,8,62,10,14,0,8
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.metric,InMemoryMetricsRepository.new LinkedHashMap() {...},2,17,1,1,0,2,1,2,0,2
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new FutureCallback() {...},94,0,4,0,18,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient.new DefaultRedirectStrategy() {...},8,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandNotFoundException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,CommandFailedException,9,0,0,0,4,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.client,SentinelApiClient,1644,80,146,6,333,15,148,4,74,2
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterGroupEntity,84,0,0,0,18,0,12,0,12,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppAssignResultVO,49,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterStateSingleVO,53,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionGroupVO,51,0,0,0,11,0,8,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterClientInfoVO,64,0,0,0,14,0,10,0,10,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ConnectionDescriptorVO,40,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppSingleServerAssignRequest,36,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain.cluster,ClusterAppFullAssignRequest,36,0,0,0,8,0,6,0,6,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,VersionUtils,5,105,1,17,3,27,1,9,0,1
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,MachineUtils,59,0,10,0,16,0,7,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,AsyncUtils,73,0,6,0,18,0,11,0,8,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.util,ClusterEntityUtils,446,0,44,0,86,0,31,0,9,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.v2,FlowControllerV2,413,0,70,0,100,0,42,0,7,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule,FlowRuleApiProvider,53,0,4,0,11,0,5,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.rule,FlowRuleApiPublisher,43,0,8,0,12,0,6,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain,Result,85,45,0,0,14,17,4,10,4,10
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.domain,ResourceTreeNode,299,0,20,0,92,0,47,0,37,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher,736,0,42,0,163,0,36,0,15,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new DefaultRedirectStrategy() {...},8,0,0,0,2,0,2,0,2,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new HashSet() {...},15,0,0,0,5,0,1,0,1,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.metric,MetricFetcher.new FutureCallback() {...},114,0,4,0,20,0,6,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.cluster,ClusterAssignController,146,0,20,0,29,0,14,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.controller.cluster,ClusterConfigController,452,0,43,0,104,0,36,0,14,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemDegradeRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemoryRuleRepositoryAdapter,6,211,5,11,2,44,5,14,0,11
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemSystemRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemFlowRuleStore,37,0,6,0,10,0,7,0,4,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemAuthorityRuleStore,12,0,0,0,3,0,3,0,3,0
sentinel-dashboard,com.alibaba.csp.sentinel.dashboard.repository.rule,InMemParamFlowRuleStore,33,0,6,0,9,0,7,0,4,0
